ambiguity,fileid,nps,numbers,sent
Neither,training/5057,tariffs~~~subsidies~~~quotas~~~non-tariff barriers,"['P', 'P', 'P', 'P']","It would seek fair trade in agriculture, seek to discipline restrictive or trade distorting import and export practices, to eliminate tariffs, subsidies, quotas and non-tariff barriers."
Oxford,training/5061,crude oil~~~coal~~~gas at the wellhead,"['S', 'S', 'S']","Prices for crude energy goods, such as crude oil, coal and gas at the wellhead, rose 2.6 pct last month after a 10.0 pct January rise."
Oxford,training/5070,the dollar~~~sterling~~~the Canadian dollar~~~Australian dollar,"['S', 'S', 'S', 'S']","In active trading this week, the market pushed the dollar, sterling, the Canadian dollar and Australian dollar higher."
Oxford,training/5070,the U.S.~~~Japan~~~West Germany~~~France~~~the U.K.,"['S', 'S', 'S', 'S', 'S']","On February 22, the finance ministers and central bank governors of the U.S., Japan, West Germany, France and the U.K. -- the Group of Five -- plus Canada, signed an accord under which they agreed to cooperate closely to foster stability of exchange rates around prevailing levels."
Oxford,training/5070,an improving U.K. economy~~~anticipation of a popular British budget on March 17~~~public opinion polls showing good chances for the incumbent Conservative party in any general election,"['S', 'S', 'P']","The pound also was boosted by suggestions of an improving U.K. economy, anticipation of a popular British budget on March 17 and public opinion polls showing good chances for the incumbent Conservative party in any general election."
Lack of Oxford,training/5070,falling industry orders~~~lower industrial output~~~slowing employment gains,"['P', 'S', 'P']","Recent West German data have shown falling industry orders, lower industrial output and slowing employment gains."
Oxford,training/5102,The Herald~~~The Lance~~~Metro One,"['S', 'S', 'S']","Southam said the newspapers, The Herald, The Lance and Metro One, will be printed at its Canadian Publishers division in Winnipeg."
Neither,training/5126,semiconductors~~~memory components~~~related products,"['P', 'P', 'P']","The company makes semiconductors, memory components and related products."
Lack of Oxford,training/5127,February producer prices~~~downward revisions in January retail sales~~~industrial production,"['P', 'P', 'S']","Although data during the week was mildly positive for bond prices, the small rise in February producer prices and downward revisions in January retail sales and industrial production were ""not real exciting,"" said Prudential Bache analyst Fred Leiner."
Oxford,training/5139,"The United States~~~Japan~~~West Germany~~~France , Italy and Britain","['P', 'S', 'S', 'P']","The United States, Japan, West Germany, France, Italy and Britain are the major consumers."
Oxford,training/5139,France~~~Italy~~~Britain,"['S', 'S', 'S']","The United States, Japan, West Germany, France, Italy and Britain are the major consumers."
Neither,training/5145,rice~~~sugar~~~cooking oil~~~potatoes~~~salt~~~wheat flour~~~cigarettes~~~soft drinks~~~school supplies~~~several kinds of vegetables,"['S', 'S', 'S', 'P', 'S', 'S', 'P', 'P', 'P', 'P']","The items for which prices were frozen included rice, sugar, cooking oil, potatoes, salt, wheat flour, cigarettes, soft drinks, school supplies and several kinds of vegetables."
Oxford,training/5150,Angola~~~Algeria~~~Tunisia,"['S', 'S', 'S']","Ina also has joint ventures and co-production projects, involving Yugoslavia's other main producer <Naftagas> of Novi Sad, with partners in Angola, Algeria and Tunisia, exploring for and exploiting oil and natural gas."
Oxford,training/5160,Japan~~~South Korea~~~Taiwan,"['S', 'S', 'S']","However, Baldrige warned measures that would penalise trading partners such as Japan, South Korea and Taiwan for failing to cut their trade surpluses with the U.S. Could lead to retaliation and he said he would urge Reagan to veto any such bill."
Oxford,training/5167,Norway~~~Egypt~~~the Soviet Union,"['S', 'S', 'S']","Norway, Egypt and the Soviet Union agreed to help OPEC by restraining production or exports after he visited them on OPEC's behalf earlier this year."
Oxford,training/5169,Senegal~~~Malaysia~~~Indonesia,"['S', 'S', 'S']","The diplomats said the protests had been received from most corners of the developing and developed world, ranging from Senegal, Malaysia and Indonesia, to Brazil, Argentina, Canada, Iceland and Norway."
Oxford,training/5169,Brazil~~~Argentina~~~Canada~~~Iceland~~~Norway,"['S', 'S', 'S', 'S', 'S']","The diplomats said the protests had been received from most corners of the developing and developed world, ranging from Senegal, Malaysia and Indonesia, to Brazil, Argentina, Canada, Iceland and Norway."
Oxford,training/5169,Britain~~~Denmark~~~the Netherlands~~~Portugal,"['S', 'S', 'S', 'S']","The proposal had little chance of approval by EC governments, with West Germany as strongly opposed to it as Britain, and Denmark, the Netherlands and Portugal also unconvinced of its political or economic wisdom."
Oxford,training/5169,Italy~~~France~~~Greece,"['S', 'S', 'S']","Even Mediterranean countries such as Italy, France and Greece, which backed similar proposals in the past, did not seem as enthusiastic now because olive oil had been added to the list of products affected."
Oxford,training/5171,the recession~~~the payments problem~~~the lack of financing,"['S', 'S', 'S']","A U.S. Embassy report on Saudi Arabia published just before the budget said: ""While industrialisation has continued to be one of the government's highest priorities, the recession, the payments problem and the lack of financing have reduced Saudi and foreign investor interest in industry."""
Oxford,training/5172,the Renault 5~~~Volkswagen Polo~~~Opel Corsa,"['S', 'S', 'S']","The car, which Citroen markets as an intermediate model between its long-running 2CV and the Visa, is designed to compete with the Renault 5, Volkswagen Polo and Opel Corsa."
Oxford,training/5176,"the United States~~~Japan~~~West Germany~~~France , Britain and Canada","['P', 'S', 'S', 'P']","On February 22, the United States, Japan, West Germany, France, Britain and Canada agreed that major currencies were within ranges broadly reflecting underlying economic conditions, given commitments by Washington to cut its budget deficit and by Toyko and Bonn to boost economic growth."
Oxford,training/5176,France~~~Britain~~~Canada,"['S', 'S', 'S']","On February 22, the United States, Japan, West Germany, France, Britain and Canada agreed that major currencies were within ranges broadly reflecting underlying economic conditions, given commitments by Washington to cut its budget deficit and by Toyko and Bonn to boost economic growth."
Lack of Oxford,training/5177,the company 's existing business plans~~~possible business combinations~~~sales of stock~~~restructuring~~~the sale of all or part of the company,"['P', 'P', 'P', 'S', 'P']","The alternatives include continuation of the company's existing business plans, possible business combinations, sales of stock, restructuring and the sale of all or part of the company."
Oxford,training/5181,the central bank~~~the economy ministry~~~the planning and foreign trade institutes,"['S', 'S', 'P']","A ceiling for foreign exchange availability will be set by a council with members from the central bank, the economy ministry and the planning and foreign trade institutes."
Oxford,training/5185,Iringa~~~Mbeya~~~Ruvuma~~~Rukwa,"['S', 'S', 'S', 'S']","Rubibira said the government is planning to build new silos in the main maize producing areas of Iringa, Mbeya, Ruvuma and Rukwa."
Oxford,training/5193,"Algeria , Iraq , Kuwait~~~Libya , Qatar , Saudi Arabia~~~the United Arab Emirates","['S', 'S', 'S']","Under a 10-year agreement reached in 1978, Jordan was to receive a total of 1.25 billion dlrs annually from Algeria, Iraq, Kuwait, Libya, Qatar, Saudi Arabia and the United Arab Emirates to help it resist Israel."
Oxford,training/5193,Algeria~~~Iraq~~~Kuwait,"['S', 'S', 'S']","Under a 10-year agreement reached in 1978, Jordan was to receive a total of 1.25 billion dlrs annually from Algeria, Iraq, Kuwait, Libya, Qatar, Saudi Arabia and the United Arab Emirates to help it resist Israel."
Oxford,training/5193,Libya~~~Qatar~~~Saudi,"['S', 'S', 'S']","Under a 10-year agreement reached in 1978, Jordan was to receive a total of 1.25 billion dlrs annually from Algeria, Iraq, Kuwait, Libya, Qatar, Saudi Arabia and the United Arab Emirates to help it resist Israel."
Neither,training/5201,the Bundesbank~~~West Germany 's four major banking associations~~~the Federal Banking Supervisory Office,"['S', 'P', 'S']","All alterations must be approved by the Bundesbank, West Germany's four major banking associations and the Federal Banking Supervisory Office."
Neither,training/5201,spot and forward currency contracts~~~currency and interest swaps~~~commercial paper programs~~~currency options~~~interest rate futures in foreign currencies~~~various innovative types of interest rate hedges,"['P', 'P', 'P', 'P', 'P', 'P']","But lending ratios do not extend to several newer instruments such as spot and forward currency contracts, currency and interest swaps, commercial paper programs, currency options, interest rate futures in foreign currencies and various innovative types of interest rate hedges."
Oxford,training/5201,zero for public authorities~~~20 pct for domestic banks~~~50 pct for foreign banks~~~100 pct for other foreign and non-bank borrowers,"['S', 'S', 'S', 'P']","The weightings, also likely if lending ratios are extended to include banks' securities portfolios, are zero for public authorities, 20 pct for domestic banks, 50 pct for foreign banks and 100 pct for other foreign and non-bank borrowers."
Neither,training/5203,partly-owned iron ore mines~~~coal mines~~~manganese and base-metal operations~~~prospects,"['P', 'P', 'P', 'P']","Utah's assets include stakes of 40.25 to 52.25 pct in seven large Central Queensland coking mines, 49 pct of the Samarco iron ore operation in Brazil, 60 pct of La Escondida copper deposit in Chile, the Island Copper mine at Port Hardy in Canada, 70 pct of a coal mine and 30 pct of a gold mine in South Africa and coal and other mines in the U.S. BHP Minerals' assets include wholly and partly-owned iron ore mines, coal mines, manganese and base-metal operations or prospects and 30 pct of the Ok Tedi gold-copper project in Papua New Guinea."
Lack of Oxford,training/5206,both directions~~~a dollar fall~~~a dollar rise,"['P', 'S', 'S']","He said the pledge by major industrial nations in Paris last month to cooperate to hold exchange rates around current ranges applied in both directions, a dollar fall or a dollar rise."
Neither,training/5206,"a lessening of market fear about intervention~~~a completely unexpected change in the economy of Japan , the U.S. Or West Germany~~~resumption of comments by government officials seeking to talk the dollar up or down","['S', 'P', 'P']","Asked what factors might destabilize the markets, the official cited a lessening of market fear about intervention, a completely unexpected change in the economy of Japan, the U.S. Or West Germany, or resumption of comments by government officials seeking to talk the dollar up or down."
Oxford,training/5206,Japan~~~the U.S.~~~West Germany,"['S', 'S', 'S']","Asked what factors might destabilize the markets, the official cited a lessening of market fear about intervention, a completely unexpected change in the economy of Japan, the U.S. Or West Germany, or resumption of comments by government officials seeking to talk the dollar up or down."
Oxford,training/5209,gold~~~copper~~~lead~~~zinc,"['S', 'S', 'S', 'S']","<Dowa Mining Co Ltd> said it will start commercial production of gold, copper, lead and zinc from its Nurukawa Mine in northern Japan in April."
Oxford,training/5209,copper~~~lead~~~zinc,"['S', 'S', 'S']","A company spokesman said the mine's monthly output is expected to consist of 1,300 tonnes of gold ore and 3,700 of black ore, which consists of copper, lead and zinc ores."
Oxford,training/5215,Industry~~~Trade~~~Labour,"['S', 'S', 'S']","Swiss unemployment edged down to 0.9 pct of the working population from one pct in January and in February 1986, the Federal Office of Industry, Trade and Labour said."
Oxford,training/5231,housing~~~health~~~education~~~entertainment~~~transport,"['S', 'S', 'S', 'S', 'S']","February price rises were mostly in housing, health, education, entertainment and transport."
Lack of Oxford,training/5235,treasury bill maturities~~~interest rate levels~~~the volume of government securities sold to the private sector,"['P', 'P', 'S']","He said treasury bill maturities, interest rate levels and the volume of government securities sold to the private sector have improved significantly. """
Oxford,training/5238,Clothing~~~shoe~~~vegetable,"['S', 'S', 'S']","Clothing, shoe and vegetable prices rose in February while prices of coffee, heating oil and most car fuels fell, the Ministry added."
Oxford,training/5238,coffee~~~heating oil~~~most car fuels,"['S', 'S', 'P']","Clothing, shoe and vegetable prices rose in February while prices of coffee, heating oil and most car fuels fell, the Ministry added."
Oxford,training/5245,142.7 in February~~~142.2 in January~~~137.8 in February 1986,"['S', 'S', 'S']","The consumer price index, base 1981, was 142.7 in February, 142.2 in January and 137.8 in February 1986."
Oxford,training/5250,merchant banking~~~oil~~~china,"['S', 'S', 'S']","Its other key sectors are merchant banking, oil and china."
Oxford,training/5255,the U.S.~~~Japan~~~West Germany,"['S', 'S', 'S']","Money supplies in the U.S., Japan and West Germany exceed the central banks' limits and real growth of their gross national products, it said."
Lack of Oxford,training/5271,both directions~~~a dollar fall~~~a dollar rise,"['P', 'S', 'S']","He said the pledge by major industrial nations in Paris last month to cooperate to hold exchange rates around current ranges applied in both directions, a dollar fall or a dollar rise."
Neither,training/5271,"a lessening of market fear about intervention~~~a completely unexpected change in the economy of Japan , the U.S. Or West Germany~~~resumption of comments by government officials seeking to talk the dollar up or down","['S', 'P', 'P']","Asked what factors might destabilize the markets, the official cited a lessening of market fear about intervention, a completely unexpected change in the economy of Japan, the U.S. Or West Germany, or resumption of comments by government officials seeking to talk the dollar up or down."
Oxford,training/5271,Japan~~~the U.S.~~~West Germany,"['S', 'S', 'S']","Asked what factors might destabilize the markets, the official cited a lessening of market fear about intervention, a completely unexpected change in the economy of Japan, the U.S. Or West Germany, or resumption of comments by government officials seeking to talk the dollar up or down."
Oxford,training/5272,Paris~~~London~~~Hong Kong,"['S', 'S', 'S']","The stake was between three and five pct but no further details of the deal, which was announced simultaneously in Paris, London and Hong Kong, were immediately available."
Oxford,training/5273,Norway~~~Egypt~~~the Soviet Union,"['S', 'S', 'S']","Norway, Egypt and the Soviet Union agreed to help OPEC by restraining production or exports after he visited them on OPEC's behalf earlier this year."
Lack of Oxford,training/5278,textiles~~~leather~~~furniture,"['P', 'S', 'S']","The officials said part of the debt would be paid in exports of goods such as textiles, leather and furniture."
Oxford,training/5279,the central bank~~~the economy ministry~~~the planning and foreign trade institutes,"['S', 'S', 'P']","A ceiling for foreign exchange availability will be set by a council with members from the central bank, the economy ministry and the planning and foreign trade institutes."
Oxford,training/5285,Senegal~~~Malaysia~~~Indonesia~~~Brazil~~~Argentina~~~Iceland~~~Norway,"['S', 'S', 'S', 'S', 'S', 'S', 'S']","But protests had also come from other exporters to the EC, such as Senegal, Malaysia, Indonesia, Brazil, Argentina, Iceland and Norway, they added."
Lack of Oxford,training/5286,the company 's existing business plans~~~possible business combinations~~~sales of stock~~~restructuring~~~the sale of all or part of the company,"['P', 'P', 'P', 'S', 'P']","The alternatives include continuation of the company's existing business plans, possible business combinations, sales of stock, restructuring and the sale of all or part of the company."
Oxford,training/5288,Japan~~~South Korea~~~Taiwan,"['S', 'S', 'S']","However, Baldrige warned measures that would penalize trading partners such as Japan, South Korea and Taiwan for failing to cut their trade surpluses with the U.S. could lead to retaliation and he said he would urge Reagan to veto any such bill."
Oxford,training/5290,"the United States~~~Japan~~~West Germany~~~France , Britain and Canada","['P', 'S', 'S', 'P']","On February 22, the United States, Japan, West Germany, France, Britain and Canada agreed that major currencies were within ranges broadly reflecting underlying economic conditions, given commitments by Washington to cut its budget deficit and by Toyko and Bonn to boost economic growth."
Oxford,training/5290,France~~~Britain~~~Canada,"['S', 'S', 'S']","On February 22, the United States, Japan, West Germany, France, Britain and Canada agreed that major currencies were within ranges broadly reflecting underlying economic conditions, given commitments by Washington to cut its budget deficit and by Toyko and Bonn to boost economic growth."
Oxford,training/5291,California~~~Oregon~~~Texas~~~Washington,"['S', 'S', 'S', 'S']","Calny is the largest franchisee of PepsiCo's Taco Bell restaurants, operating 143 in California, Oregon, Texas and Washington as well as 15 La Petite Boulangerie bakeries in Seattle."
Oxford,training/5293,the offer~~~proration period~~~withdrawal rights,"['S', 'S', 'P']","The firm said the offer, proration period and withdrawal rights expire April 22 unless extended."
Oxford,training/5295,Development Inc>~~~<Norsk Vikingolje A/S> of Oslo~~~MIS Gas Corp,"['S', 'S', 'S']","ZIM Energy Corp said it has entered into an agreement for a group consisting of <Strategy and Development Inc>, <Norsk Vikingolje A/S> of Oslo and MIS Gas Corp -- which already owns one third of ZIM -- to buy 15 to 20 mln new common shares at 20 cts each in association with <Polo Energy Corp> and <Jaguar Petroleum Corp>. The company said the investor group also bought about 6.3 mln shares from ZIM management."
Oxford,training/5295,James Mitchell~~~William Richardson~~~Steven Duin,"['S', 'S', 'S']","It said James Mitchell, William Richardson and Steven Duin have resigned as officers and directors."
Neither,training/5295,lower oil and natural gas prices~~~unsuccessful well workover programs~~~excessive overhead and corporate expenses,"['P', 'P', 'P']","The company said it expects to report a loss for the year of about 3,125,000 dlrs due to lower oil and natural gas prices, unsuccessful well workover programs and excessive overhead and corporate expenses."
Oxford,training/5323,the U.S.~~~Japan~~~West Germany,"['S', 'S', 'S']","It said in a statement the stabilisation of crude oil prices and the Organisation of Petroleum Exporting Countries' efforts to achieve further firming of the price has led to growing inflationary pressures in the U.S. Money supplies in the U.S., Japan and West Germany exceed central bank limits and real growth of their gross national products, it added."
Neither,training/5327,"gains of 130,000 dlrs , or three cts a share , in quarter and 490,000 dlrs~~~11 cts a share~~~vs 52,000 dlrs~~~one cent a share","['P', 'S', 'P', 'S']","Profits include gains of 130,000 dlrs, or three cts a share, in quarter and 490,000 dlrs, or 11 cts a share, vs 52,000 dlrs, or one cent a share, in nine months from tax loss carryforward"
Oxford,training/5331,<Goldman~~~Sachs~~~Co>.,"['S', 'S', 'S']","BCW was formed by Becor executives and <Goldman, Sachs and Co>. Both deals are subject to shareholder approval."
Neither,training/5342,charge of 44.1 mln dlrs due to writedown of oil and gas interests~~~writeoff of goodwill and patents~~~provision against disposal of surplus inventory~~~losses on disposition of operating units~~~writedown of assets held for disposal,"['P', 'P', 'S', 'P', 'S']","Shr loss 2.70 dlrs vs loss 25 cts Net loss 60.6 mln vs loss 3,122,000 Revs 101.0 mln vs 167.7 mln Note: 1986 includes charge of 44.1 mln dlrs due to writedown of oil and gas interests, writeoff of goodwill and patents, provision against disposal of surplus inventory, losses on disposition of operating units and writedown of assets held for disposal."
Neither,training/5366,450 mln dlrs in cash~~~500 dlrs of 13-1/4 pct senior subordinated debentures~~~four common shares,"['P', 'P', 'P']","As previously announced, creditors will receive 450 mln dlrs in cash, 500 dlrs of 13-1/4 pct senior subordinated debentures and four common shares for each 1,000 dlrsd of allowed unsecured claims."
Oxford,training/5376,Japan~~~South Korea~~~Taiwan,"['S', 'S', 'S']","The first battle will take place next week when the full House Ways and Means Committee considers an amendment by Rep. Richard Gephardt, a Missouri Democrat, to force countries such as Japan, South Korea and Taiwan to cut their trade surpluses with the United States."
Oxford,training/5377,the dispute over payment of the promissory note~~~the law suit challenging its financial data~~~the various investigations concerning insider trading,"['S', 'S', 'P']","As a result of the dispute over payment of the promissory note, the law suit challenging its financial data and the various investigations concerning insider trading, the company said it no longer expects that anticipated declines in instrument sales in Japan in fiscal 1987 will be offset by increased instrument sales in other foreign countries and the United States."
Oxford,training/5382,"the U.S.~~~a consumer~~~Malaysia , an increasingly important producer","['S', 'S', 'S']","Non- members include the U.S., a consumer, and Malaysia, an increasingly important producer."
Oxford,training/5390,its principal subsidiary~~~Capitol Bank~~~Trust Co.,"['S', 'S', 'S']","The company said the restatement also reflects a substantial increase in reserves of its principal subsidiary, Capitol Bank and Trust Co."
Lack of Oxford,training/5394,the system 's founding fathers~~~ex-West German Chancellor Helmut Schmidt~~~former French President Valery Giscard d' Estaing,"['P', 'S', 'S']","But economists say members such as West Germany have so far blocked a second stage of development envisaged by the system's founding fathers, ex-West German Chancellor Helmut Schmidt and former French President Valery Giscard d'Estaing."
Oxford,training/5400,kuwait~~~Bahrain~~~Oman~~~Qatar~~~the United Arab Emirates,"['S', 'S', 'S', 'S', 'S']","An additional 761 head of dairy cattle are still available to Gulf countries (kuwait, Bahrain, Oman, Qatar and the United Arab Emirates under the Export Enhancement Program initiative announced October 30, 1986, it said."
Lack of Oxford,training/5412,certificates of deposit~~~bonds~~~commercial paper,"['P', 'P', 'S']","Spanish banks will also be allowed to expand their foreign currency funding, formerly obtainable through deposits, by issuing certificates of deposit, bonds and commercial paper."
Lack of Oxford,training/5417,"62,000 dlrs~~~one ct a share vs 358,000 dlrs~~~six cts a share","['P', 'P', 'S']","Full name is Diversified Industries Inc Earnings exclude gains from utilization of tax loss carryforwards of 62,000 dlrs, or one ct a share vs 358,000 dlrs, or six cts a share"
Oxford,training/5423,agriculture~~~the discontinuance of several programs due to the passage if the 1986 tax bill~~~the failure to close the sale of four ranches in the California Carrizo Plains during the year as expected,"['S', 'S', 'S']","The company blamed the loss on the continuing depression in agriculture, the discontinuance of several programs due to the passage if the 1986 tax bill and the failure to close the sale of four ranches in the California Carrizo Plains during the year as expected."
Lack of Oxford,training/5445,the United Food and Commercial Workers union~~~UFCW~~~local 222,"['P', 'S', 'S']","Members of the United Food and Commercial Workers union, UFCW, local 222 voted Sunday to go on strike against Iowa Beef Processors Inc Dakota City, Nebraska, plant, effective Tuesday."
Neither,training/545,AMI management~~~Pesch~~~the closely held health care and investment concern controlled by Chicago physician LeRoy Pesch~~~other AMI shareholders,"['S', 'S', 'P', 'P']","WEDGE said it has had discussions with AMI management, Pesch, the closely held health care and investment concern controlled by Chicago physician LeRoy Pesch, and other AMI shareholders."
Oxford,training/545,company management~~~Pesch~~~other shareholders,"['S', 'S', 'P']","WEDGE, which holds 4.8 mln shares of AMI common stock, said it plans to hold further talks with company management, Pesch and other shareholders."
Oxford,training/5456,Japan~~~Canada~~~the U.K.,"['S', 'S', 'S']","During 1986 the company opened 81 new stores, including 76 in the U.S., Two in Australia and one each in Japan, Canada and the U.K. ""We intend to open a minimum of five more units in London for example and it is reasonable that we might open other stores in other European countries in 1988,"" Fields said."
Oxford,training/5458,the U.S.~~~Europe~~~Japan,"['S', 'S', 'S']","Funaro said that during his recent trip to the U.S., Europe and Japan to explain Brazil's decision last month to suspend interest payments on 68 billion dlrs of commercial debt, he stressed the country's commitment to growth. ""We need to and will make the effort (to solve the debt problem) but we cannot make an effort that means we stop growing,"" he said, adding that political and not purely commercial solutions were needed to the debt crisis."
Neither,training/5467,400 mln dlrs in loan savings~~~35 mln dlrs in transportation and storage savings~~~10-20 mln dlrs per year in deficiency payment savings,"['P', 'P', 'P']","The savings resulting from the additional 3.5 mln acres idled would be a little over 400 mln dlrs in loan savings, 35 mln dlrs in transportation and storage savings, and 10-20 mln dlrs per year in deficiency payment savings, the report said."
Oxford,training/5467,wheat~~~corn~~~cotton~~~sorghum~~~barley,"['S', 'S', 'S', 'S', 'S']","The USDA report asssessed the impacts of the proposed 0/92 acreage program for wheat, corn, cotton, sorghum and barley."
Neither,training/5467,"1.5 mln acres of corn~~~500,000 acres of sorghum and barley~~~500,000 acres of cotton","['P', 'P', 'P']","USDA estimated that an additional one mln acres of wheat would be ildled under 0/92, 1.5 mln acres of corn, 500,000 acres of sorghum and barley and 500,000 acres of cotton."
Neither,training/5467,"40 mln bushels of wheat~~~180 mln bushels of corn~~~20 mln bushels of sorghum~~~10 mln bushels of barley~~~500,000 bales of cotton","['P', 'P', 'P', 'P', 'P']","Production from these idled acres would be equivalent to 40 mln bushels of wheat, 180 mln bushels of corn, 20 mln bushels of sorghum, 10 mln bushels of barley, and 500,000 bales of cotton, the report said. """
Oxford,training/5471,Jorge Cardenas~~~manager of the national federation~~~head of his nation 's delegation in London,"['S', 'S', 'S']","Jorge Cardenas, manager of the national federation and head of his nation's delegation in London, has blamed the intransigence of some big countries, without naming them."
Oxford,training/5473,asset management~~~merchant~~~private banking companies.,"['S', 'S', 'P']","Last year, Royal Trust moved into continental Europe and Asia with its 239 mln Canadian dlr acquisition of Dow Chemical Co <DOW>'s Dow Financial Services Corp, which included asset management, merchant and private banking companies. """
Oxford,training/5473,asset management~~~private banking~~~advisory services,"['S', 'S', 'P']","Cornelissen stressed that Royal Trust would shun direct competition with major global financial institutions in activities such as international lending and stock brokerage, in order to exploit ""profitable niches"" overseas in traditional trust activities such as asset management, private banking and advisory services."
Oxford,training/5473,Tokyo~~~Hong Kong~~~Singapore,"['S', 'S', 'S']","Royal Trust's 14 international locations include offices in Tokyo, Hong Kong and Singapore."
Neither,training/5474,higher prices~~~improved market share~~~reduced costs~~~improved demand,"['P', 'S', 'P', 'S']","Sutliff said improved results should come from four factors - higher prices, improved market share, reduced costs, and improved demand."
Oxford,training/5475,22 cts per share~~~36 cts in the fourth quarter~~~1986,"['S', 'S', 'S']","Net profit 9.6 mln vs loss eight mln Revs 157.2 mln vs 182.2 mln NOTE: Includes extraordinary gains of 22 cts per share and 36 cts in the fourth quarter and 1986, respectively."
Oxford,training/5491,the New York cocoa futures~~~July delivery~~~contract starting Wednesday~~~March 18,"['S', 'S', 'S', 'S']","A 250 dlr spot charge will be added to the New York cocoa futures, July delivery, contract starting Wednesday, March 18, the Coffee, Sugar and Cocoa Exchange said."
Oxford,training/5499,the Baltic Exchange~~~the London Potato Futures Association~~~the GAFTA Soya Bean Meal Futures Association~~~the London Meat Futures Exchange,"['S', 'S', 'S', 'S']","Last week three exchanges currently trading on the Baltic Exchange, the London Potato Futures Association, the GAFTA Soya Bean Meal Futures Association and the London Meat Futures Exchange, instructed legal advisers to implement a merger."
Oxford,training/550,Michael Seibel~~~Bank of America vice-president~~~regional manager,"['S', 'S', 'S']","Michael Seibel, Bank of America vice-president and regional manager, said the negotiations were proceeding well."
Oxford,training/5511,Charles E. Exley Jr~~~chairman~~~president,"['S', 'S', 'S']","NCR Corp is very optimistic that it will post record revenues and profits for 1987, Charles E. Exley Jr, chairman and president, said. """
Oxford,training/5525,Neiman-Marcus~~~Bergdorf Goodman~~~Contempo Casuals,"['S', 'S', 'S']","According to the restructuring, Carter Hawley plans to spin-off its specialty stores, including Neiman-Marcus, Bergdorf Goodman and Contempo Casuals, into a new company named <Neiman-Marcus Group>, whose shares will trade on the New York Stock Exchange, it said."
Oxford,training/5541,receipt of all statutory permits~~~finalization of financing arrangements~~~management and joint venture review,"['S', 'S', 'P']","The company said subject to receipt of all statutory permits, finalization of financing arrangements and management and joint venture review, construction of a 15,000 short ton per day processing facility can start."
Oxford,training/5558,receipt of all statutory permits~~~finalization of financing arrangements~~~management and joint venture review,"['S', 'S', 'P']","BP said subject to receipt of all statutory permits, finalization of financing arrangements and management and joint venture review, construction of a 15,000 short ton per day processing facility can start."
Oxford,training/5559,stock~~~cash~~~equipment,"['S', 'S', 'S']","Safety-Kleen Corp said it has tentatively agreed to buy an 80 pct stake in Breslube Enterprises of Toronto for 14 mln dlrs in stock, cash and equipment."
Oxford,training/5559,Safety-Kleen common stock~~~cash~~~a rerefining plant owned by Safety-Kleen,"['S', 'S', 'S']","Price includes 14 mln dlrs of Safety-Kleen common stock, cash and a rerefining plant owned by Safety-Kleen."
Neither,training/5559,auto garages~~~car dealers~~~other businesses,"['P', 'P', 'P']","Closing of the deal is expected by May. Breslube is a leading rerefiner of used lubricating oils in North America, collecting used oils from auto garages, car dealers and other businesses."
Oxford,training/5561,Japan~~~South Korea~~~Taiwan,"['S', 'S', 'S']",", to force countries like Japan, South Korea and Taiwan to cut their trade surpluses with the U.S. The subcommittee limited the Gephardt plan to provide only that the existence of a large trade surplus with the United States will trigger an investigation of unfair trade practices, but would not automatically set off retaliation."
Lack of Oxford,training/5570,high interest rates~~~debt servicing~~~the repatriation of profits by foreign investors,"['P', 'S', 'S']","He blamed this on high interest rates, debt servicing and the repatriation of profits by foreign investors."
Oxford,training/5597,investigation~~~uniformed guard~~~armoured truck services,"['S', 'S', 'P']","Hudson Valley, which provides guard and patrol services in upstate N.Y., said Federal Protection Services provides investigation, uniformed guard and armoured truck services to banks, corporations and residential communities in southern Florida."
Neither,training/5597,banks~~~corporations~~~residential communities in southern Florida,"['P', 'P', 'P']","Hudson Valley, which provides guard and patrol services in upstate N.Y., said Federal Protection Services provides investigation, uniformed guard and armoured truck services to banks, corporations and residential communities in southern Florida."
Neither,training/5635,protein meals~~~9.0 mln dlrs for tallow~~~44.0 mln dlrs for vegetable oils,"['P', 'P', 'P']","The department said the additional guarantees provide up to 31.0 mln dlrs in coverage for sales of protein meals, 9.0 mln dlrs for tallow, and 44.0 mln dlrs for vegetable oils."
Oxford,training/5659,American~~~British~~~German,"['S', 'S', 'S']","It said the French company publishes original titles by French authors, as well as translations of American, British and German Medical books."
Oxford,training/5667,<Heritage Lite Meat Corp>~~~<National Lean Beef Corp>~~~<Heritage Cattle <Corp>. DNA,"['S', 'S', 'S']","DNA also said it will submit a proposal at its annual meeting for it to acquire three companies owned by Mize, <Heritage Lite Meat Corp>, <National Lean Beef Corp> and <Heritage Cattle <Corp>. DNA said the total value of the transactions is 700,000 dlrs."
Oxford,training/5670,Arizona~~~Colorado~~~Illinois~~~Maryland~~~New,"['S', 'S', 'S', 'S', 'S']","The offices being sold operate under the name of City Consumer Serices Inc in Arizona, Colorado, Illinois, Maryland, New Mexico, Oregon and Virginia."
Lack of Oxford,training/5675,"2,600 acres~~~various working interests in 15 oil and gas wells on that property~~~all equipment and machinery necessary for operation~~~a 50 pct interest in a nine-mile gas pipeline","['P', 'P', 'P', 'S']","American said assets included nine leases totalling 2,600 acres, various working interests in 15 oil and gas wells on that property, all equipment and machinery necessary for operation, and a 50 pct interest in a nine-mile gas pipeline."
